rowid,slide_id,element_uid,element_type,element_style_type,order_index,x,y,width,height,background_resource_id,foreground_resource_id,internal_mute,from_master
1,1,BACKGROUND,0,0,0,0.0,0.0,1.0,1.0,,,0,0
2,1,AUDIO,5,0,1,0.0,0.0,1.0,1.0,,,0,0
3,1,CONTENT,6,1,2,0.0,0.0,1.0,1.0,,,0,0
4,2,BACKGROUND,0,0,0,0.0,0.0,1.0,1.0,,,0,0
5,2,AUDIO,5,0,1,0.0,0.0,1.0,1.0,,,0,0
6,2,CONTENT_SONG,6,4,2,0.0,0.0,1.0,1.0,,,0,0
7,2,COPYRIGHT,6,8,3,0.0,0.9200000166893,1.0,0.0799999982118607,,,0,0
8,3,BACKGROUND,0,0,0,0.0,0.0,1.0,1.0,,,0,0
9,3,AUDIO,5,0,1,0.0,0.0,1.0,1.0,,,0,0
10,3,CONTENT_SCRIPTURE,6,5,2,0.0,0.0,1.0,1.0,,,0,0
11,4,BACKGROUND,0,0,0,0.0,0.0,1.0,1.0,,,0,0
12,4,AUDIO,5,0,1,0.0,0.0,1.0,1.0,,,0,0
13,4,TITLE,6,6,2,0.0199999995529652,0.0299999993294477,0.959999978542328,0.150000005960464,,,0,0
14,4,SUBTITLE,6,7,3,0.0199999995529652,0.21000000834465,0.959999978542328,0.0750000029802322,,,0,0
15,4,CONTENT_PRESENTATION,6,3,4,0.0199999995529652,0.314999997615814,0.959999978542328,0.65499997138977,,,0,0
16,5,BACKGROUND,0,0,0,0.0,0.0,1.0,1.0,,,0,0
17,5,AUDIO,5,0,1,0.0,0.0,1.0,1.0,,,0,0
18,5,CONTENT_SONG,6,4,2,0.0,0.0,1.0,1.0,,,0,0
19,5,COPYRIGHT,6,8,3,0.0,0.9200000166893,1.0,0.0799999982118607,,,0,0
20,5,CONTENT_SCRIPTURE,6,5,4,0.0,0.0,1.0,1.0,,,0,0
21,6,BACKGROUND,0,0,0,0.0,0.0,1.0,1.0,,,0,0
22,6,AUDIO,5,0,1,0.0,0.0,1.0,1.0,,,0,0
23,6,CONTENT_SONG,6,4,2,0.0,0.0,1.0,1.0,,1,0,0
24,6,COPYRIGHT,6,8,3,0.0,0.9200000166893,1.0,0.0799999982118607,,2,0,0
25,6,CONTENT_SCRIPTURE,6,5,4,0.0,0.0,1.0,1.0,,3,0,1
